sq_mt_built,n_bathrooms,n_rooms,rent_price,n_bathrooms,sq_mt_built,buy_price_by_area,has_garden,has_pool,neighborhood,has_pool,buy_price
85.0,1.0,3,686,1.0,85.0,1588,0,0,134,0,135000
65.0,1.0,2,535,1.0,65.0,1523,0,0,134,0,99000
53.0,1.0,3,601,1.0,53.0,2157,0,0,133,0,114300
68.0,1.0,3,485,1.0,68.0,1294,0,0,135,0,88000
75.0,1.0,3,583,1.0,75.0,1467,0,0,132,0,110000
83.0,1.0,2,728,1.0,83.0,1759,0,0,134,0,146000
95.0,1.0,3,592,1.0,95.0,1179,0,0,134,0,112000
30.0,1.0,1,342,1.0,30.0,1967,0,0,135,0,59000
53.0,1.0,1,728,1.0,53.0,2755,0,1,131,1,146000
125.0,3.0,3,1135,3.0,125.0,2200,0,1,131,1,275000
153.0,2.0,4,844,2.0,153.0,1163,0,0,134,0,178000
86.0,1.0,3,662,1.0,86.0,1500,0,0,134,0,129000
66.0,1.0,2,521,1.0,66.0,1455,0,0,135,0,96000
63.0,1.0,3,456,1.0,63.0,1302,0,0,135,0,82000
59.0,1.0,2,654,1.0,59.0,2151,0,0,133,0,126900
95.0,1.0,3,913,1.0,95.0,2095,0,1,134,1,199000
65.0,1.0,2,1015,1.0,65.0,3569,0,0,134,0,232000
69.0,1.0,2,1038,1.0,69.0,3478,0,1,134,1,240000
115.0,2.0,4,1275,2.0,115.0,2870,0,0,133,0,330000
60.0,1.0,3,625,1.0,60.0,2000,0,0,134,0,120000
90.0,2.0,3,823,2.0,90.0,1911,0,0,134,0,172000
60.0,1.0,3,458,1.0,60.0,1371,0,0,135,0,82260
65.0,1.0,2,579,1.0,65.0,1677,0,0,132,0,109000
115.0,1.0,4,678,1.0,115.0,1157,0,0,132,0,133000
83.0,2.0,3,587,2.0,83.0,1337,0,0,135,0,111000
55.0,1.0,2,583,1.0,55.0,2000,0,0,134,0,110000
80.0,2.0,2,851,2.0,80.0,2250,0,1,131,1,179990
68.0,1.0,3,766,1.0,68.0,2294,0,0,134,0,156000
89.0,2.0,2,1003,2.0,89.0,2562,0,0,134,0,228000
61.0,1.0,3,489,1.0,61.0,1459,0,0,135,0,89000
67.0,1.0,3,621,1.0,67.0,1776,0,0,132,0,119000
68.0,1.0,3,512,1.0,68.0,1382,0,0,135,0,94000
92.0,2.0,3,833,2.0,92.0,1902,0,0,132,0,175000
70.0,1.0,3,494,1.0,70.0,1286,0,0,135,0,90000
63.0,1.0,3,805,1.0,63.0,2651,0,0,133,0,167000
57.0,1.0,3,521,1.0,57.0,1684,0,0,132,0,96000
63.0,1.0,3,466,1.0,63.0,1333,0,0,134,0,84000
52.0,1.0,2,544,1.0,52.0,1942,0,0,132,0,101000
125.0,2.0,3,948,2.0,125.0,1680,0,0,133,0,210000
75.0,1.0,3,672,1.0,75.0,1752,0,0,133,0,131400
71.0,1.0,3,672,1.0,71.0,1851,0,0,134,0,131400
80.0,1.0,3,517,1.0,80.0,1188,0,0,134,0,95000
66.0,1.0,3,508,1.0,66.0,1409,0,0,134,0,93000
95.0,2.0,2,760,2.0,95.0,1626,0,0,134,0,154500
61.0,1.0,3,539,1.0,61.0,1639,0,0,131,0,100000
42.0,1.0,4,521,1.0,42.0,2283,0,0,135,0,95900
85.0,1.0,3,762,1.0,85.0,1822,0,0,133,0,154900
80.0,1.0,2,604,1.0,80.0,1438,0,0,132,0,115000
55.0,1.0,2,521,1.0,55.0,1745,0,0,133,0,96000
60.0,1.0,0,471,1.0,60.0,1417,0,0,134,0,85000
60.0,1.0,2,517,1.0,60.0,1583,0,0,135,0,95000
55.0,1.0,3,437,1.0,55.0,1418,0,0,135,0,78000
93.0,1.0,3,660,1.0,93.0,1382,0,0,131,0,128500
55.0,1.0,2,517,1.0,55.0,1727,0,0,133,0,95000
82.0,1.0,3,465,1.0,82.0,1023,0,0,135,0,83900
53.0,1.0,2,521,1.0,53.0,1811,0,0,133,0,96000
69.0,1.0,2,619,1.0,69.0,1719,0,0,134,0,118600
58.0,1.0,2,617,1.0,58.0,2034,0,0,133,0,118000
70.0,1.0,2,923,1.0,70.0,2886,0,0,133,0,202000
47.0,1.0,1,721,1.0,47.0,3064,0,0,133,0,144000
64.0,1.0,2,535,1.0,64.0,1546,0,0,133,0,98968
50.0,1.0,2,561,1.0,50.0,2100,0,0,133,0,105000
90.0,2.0,3,1174,2.0,90.0,3222,0,1,131,1,290000
66.0,1.0,2,494,1.0,66.0,1364,0,0,131,0,90000
70.0,1.0,2,423,1.0,70.0,1071,0,0,134,0,75000
60.0,1.0,2,646,1.0,60.0,2083,0,0,134,0,125000
101.0,2.0,2,1081,2.0,101.0,2525,0,1,131,1,255000
75.0,1.0,3,614,1.0,75.0,1564,0,0,134,0,117300
55.0,1.0,2,524,1.0,55.0,1756,0,0,134,0,96600
77.0,1.0,3,621,1.0,77.0,1545,0,0,132,0,119000
56.0,1.0,3,539,1.0,56.0,1786,0,0,133,0,100000
68.0,1.0,3,526,1.0,68.0,1426,0,0,131,0,97000
72.0,1.0,3,517,1.0,72.0,1319,0,0,133,0,95000
70.0,1.0,3,686,1.0,70.0,1929,0,0,134,0,135000
75.0,2.0,2,901,2.0,75.0,2600,0,0,133,0,195000
120.0,1.0,3,901,1.0,120.0,1625,0,0,134,0,195000
91.0,2.0,2,964,2.0,91.0,2363,0,1,134,1,215000
95.0,1.0,2,634,1.0,95.0,1284,0,0,134,0,122000
61.0,1.0,3,646,1.0,61.0,2049,0,0,132,0,125000
73.0,1.0,2,625,1.0,73.0,1644,0,0,133,0,120000
66.0,1.0,3,508,1.0,66.0,1409,0,0,134,0,93000
68.0,1.0,2,646,1.0,68.0,1838,0,0,132,0,125000
70.0,1.0,3,561,1.0,70.0,1498,0,0,134,0,104840
42.0,1.0,4,521,1.0,42.0,2283,0,0,135,0,95900
54.0,1.0,3,403,1.0,54.0,1315,0,0,132,0,71000
56.0,1.0,3,561,1.0,56.0,1875,0,0,133,0,105000
100.0,1.0,4,798,1.0,100.0,1650,0,0,132,0,165000
125.0,2.0,4,827,2.0,125.0,1384,0,0,132,0,173000
54.0,1.0,3,403,1.0,54.0,1315,0,0,132,0,71000
130.0,2.0,4,809,2.0,130.0,1292,0,0,135,0,168000
68.0,1.0,2,539,1.0,68.0,1469,0,0,132,0,99900
85.0,1.0,3,658,1.0,85.0,1506,0,0,134,0,128000
75.0,1.0,3,625,1.0,75.0,1600,0,0,134,0,120000
80.0,1.0,2,517,1.0,80.0,1188,0,0,132,0,95000
64.0,1.0,2,583,1.0,64.0,1719,0,0,135,0,110000
69.0,1.0,4,475,1.0,69.0,1245,0,0,135,0,85900
115.0,1.0,4,867,1.0,115.0,1608,0,0,133,0,184900
70.0,1.0,3,715,1.0,70.0,2036,0,0,135,0,142500
56.0,1.0,2,579,1.0,56.0,1946,0,0,132,0,109000
90.0,1.0,2,705,1.0,90.0,1556,0,0,134,0,140000
75.0,1.0,3,614,1.0,75.0,1564,0,0,134,0,117300
71.0,1.0,2,625,1.0,71.0,1690,0,0,133,0,120000
76.0,1.0,3,583,1.0,76.0,1447,0,0,135,0,110000
114.0,2.0,4,1197,2.0,114.0,2623,0,0,134,0,299000
90.0,2.0,3,851,2.0,90.0,2000,0,0,134,0,180000
70.0,1.0,3,471,1.0,70.0,1214,0,0,135,0,85000
80.0,1.0,3,539,1.0,80.0,1250,0,0,134,0,100000
96.0,2.0,4,816,2.0,96.0,1771,0,0,132,0,170000
50.0,1.0,1,646,1.0,50.0,2500,0,0,131,0,125000
85.0,2.0,3,1009,2.0,85.0,2706,0,1,133,1,230000
90.0,2.0,3,1200,2.0,90.0,3333,0,1,131,1,300000
60.0,1.0,3,625,1.0,60.0,2000,0,0,135,0,120000
90.0,2.0,2,1038,2.0,90.0,2667,0,1,134,1,240000
60.0,1.0,3,705,1.0,60.0,2333,0,0,135,0,140000
105.0,2.0,3,686,2.0,105.0,1286,0,0,132,0,135000
112.0,2.0,3,1009,2.0,112.0,2054,0,0,134,0,230000
60.0,1.0,3,725,1.0,60.0,2417,0,0,135,0,145000
62.0,1.0,2,715,1.0,62.0,2298,0,0,133,0,142450
81.0,1.0,3,780,1.0,81.0,1975,0,0,132,0,160000
75.0,1.0,3,851,1.0,75.0,2400,0,0,133,0,180000
72.0,1.0,3,666,1.0,72.0,1806,0,0,134,0,130000
95.0,2.0,2,1067,2.0,95.0,2632,0,1,131,1,250000
49.0,1.0,1,884,1.0,49.0,3878,0,1,134,1,190000
90.0,1.0,3,813,1.0,90.0,1878,0,1,134,1,169000
78.0,1.0,2,809,1.0,78.0,2154,0,0,134,0,168000
100.0,1.0,3,948,1.0,100.0,2100,0,0,134,0,210000
70.0,1.0,3,517,1.0,70.0,1357,0,0,135,0,95000
52.0,1.0,2,422,1.0,52.0,1438,0,0,134,0,74800
56.0,1.0,3,437,1.0,56.0,1393,0,0,135,0,78000
110.0,2.0,3,881,2.0,110.0,1718,0,0,134,0,189000
70.0,1.0,3,526,1.0,70.0,1386,0,0,134,0,97000
75.0,1.0,3,762,1.0,75.0,2067,0,0,135,0,155000
116.0,2.0,4,816,2.0,116.0,1466,0,0,132,0,170000
48.0,1.0,2,625,1.0,48.0,2500,0,0,131,0,120000
80.0,1.0,3,646,1.0,80.0,1562,0,0,133,0,125000
81.0,1.0,3,704,1.0,81.0,1722,0,0,131,0,139500
95.0,2.0,4,910,2.0,95.0,2084,0,0,132,0,198000
